,gen_summary,ref_summary,full_text
15,"В Минске силовики стреляли в воздух, сообщают СМИ. Кроме того, в центре Минска скопилось множество автозаков, очевидцы рассказывают о несильных взрывах, предположительно, полиция использовала светошумовые гранаты.","В Минске силовики использовали светошумовые гранаты, а также делали предупредительные выстрелы в воздух для разгона протестующих. Кроме того, неизвестный мужчина в черной одежде гонялся за митингующими по одному из дворов и стрелял в оппозиционеров из пейнтбольного пистолета. Правозащитный центр «Весна» сообщает, что всего на акциях 1 ноября в Минске, Могилеве, Гродно и Жодишки были задержаны около ста человек.","В центре Минска на проспекте Независимости правоохранители при разгоне традиционной воскресной протестной акции делали предупредительные выстрелы в воздух, сообщает Tut.By. Кроме того, для усмирения протестующих в районе ТРЦ Expobel на пересечении МКАД и Логойского тракта на северо-восточной окраине Минска силовики использовали спецсредства. В этом районе в середине дня скопилось множество автозаков, очевидцы рассказывают о нескольких несильных взрывах, предположительно, полиция использовала светошумовые гранаты. официальный представитель В ГУВД Минского горисполкома подтвердили РИА «Новости», что силовики стреляли в воздух. По словам официального представителя ведомства Натальи Ганусевич, это были «предупредительные выстрелы» — таким образом милиция пресекала нарушения законодательства. Кроме того, в Сети появились кадры того, как неизвестный в черной одежде гоняется за митингующими по внутреннему двору и стреляет в них из пейнтбольного пистолета. Правозащитный центр «Весна» сообщает что всего на акциях 1 ноября, которой оппозиционеры дали название «Деды», в нескольких городах республики — Минске, Могилеве, Гродно и Жодишки — были задержаны около ста человек. Среди задержанных три корреспондента газеты «Новы Час» — Дмитрий Дмитриев, Александр Зенькович и Яна Трусилова, а также оператор телеканала «Белсат» Дмитрий Солтан. Днем ранее правоохранители задержали нескольких протестующих на марше женщин, которые с бело-красно-белой символикой прошли по центру Минска. Двигаясь мимо СИЗО на улице Володарского, участники марша скандировали «Выпускай!» Такое же требование они озвучили у здания КГБ. В изоляторе спецслужбы находятся известные белорусские политики, которых правозащитное сообщество признало политзаключенными. Чуть ранее"
16,"По словам продюсера, музыкант и прежде временами не выходил на связь, однако в этот раз его отсутствие затянулось — дозвониться до него не может больше месяца.","Близкие Андрея Губина обеспокоились пропажей популярного в прошлом артиста — как отмечается в СМИ, музыкант, ведущий затворнический образ жизни, в последний раз появлялся на публике еще летом этого года, после чего его никто не видел. При этом продюсер певца подтвердил, что тоже не может связаться с Губиным. По его словам, музыкант и ранее не выходил на связь длительными периодами, однако на сей раз его действительно «что-то долговато нет».","Продюсер советского и российского поп-певца Андрея Губина Тарас Ващишин высказался относительно слухов, касающихся пропажи 46-летнего артиста. Он, в частности, напомнил, что музыкант и прежде временами подолгу не выходил на связь, однако в этот раз его отсутствие затянулось — дозвониться до Губина он не может больше месяца. «Я ему тоже не могу дозвониться и тоже переживаю. Я к нему не ездил, но никто не может дозвониться ему, к сожалению», — цитирует продюсера «Пятый канал». — У него просто были такие моменты, что он не выходил долго на связь, поэтому панику никто особо не бил, но сейчас что-то долговато его нет... Ну, переживаем все, что делать, пока так». Также Ващишин отрицательно ответил на вопрос, собираются ли близкие Губина обращаться в полицию с заявлением о его пропаже. По словам продюсера, на данный момент подобного решения они не принимали. Ранее в СМИ появилась информация о намерении друзей артиста обратиться в правоохранительные органы в связи с его исчезновением. За полторы недели до этого до этого на сайте Popcake.tv был опубликован материал, в котором говорилось, что музыкант перестал отвечать на звонки и выходить из дома. При этом, согласно прессе, Губин в последний раз появлялся на публике еще в июле этого года, после чего его никто не видел. «Он перестал выходить из дома, он перестал читать сообщения, он перестал отвечать на звонки. Раньше такого не было ни разу. С ним что-то происходит, и мы не можем понять — что именно. И тем более узнать, как он вообще себя чувствует и нужна ли ему помощь. Двери никто не открывает, телефон недоступен, наверно, будем поднимать шумиху», — говори"
17,"Российский посол в Турции Алексей Ерхов заявил, что туристы из России стали катализатором распространения коронавируса в Турции. По его словам, на более чем миллион россиян был выявлен коронавирус.","С августа 326 российских туристов, которые отдыхали в Турции, заразились коронавирусом. Для 11 человек этот отдых стал последним. В настоящее время на изоляции находятся 87 человек, еще 31 турист из России — в больнице. Такие данные привел российский посол в Турции Алексей Ерхов. Дипломат также дал несколько советов путешественникам, которые намерены провести отпуск на турецких курортах.","Среди российских туристов, которые полетели на отдых в Турцию, есть 11 случаев смерти от коронавируса. Об этом рассказал российский посол в Турции Алексей Ерхов в интервью «Интерфаксу». «Конечно, это печально. Но надо понимать, что все это на более чем миллион российских граждан, посетивших курорты Турции с начала августа этого года, когда было возобновлено авиасообщение», — подчеркнул он. По его словам, всего за то время, что открыты границы, у 326 россиян был выявлен коронавирус на курортах Турции. Сейчас на изоляции по месту отдыха находятся 87 человек, еще 31 россиянин — в больницах, уточнил дипломат. При этом Алексей Ерхов опроверг мнение о том, что туристы из России стали катализатором распространения коронавирусной инфекции в Турции. «Я, честно говоря, не видел сообщений, чтобы турецкие власти упрекали кого-то из наших туристов в «завозе» в Турцию коронавирусной инфекции. Не припомню я таких заявлений официальных турецких представителей», — сказал Ерхов. Посол добавил, что «возможно, были какие-то не вполне официальные публикации, но их, наверное, было бы правильным оставить на совести их авторов, как и заполошные сообщения некоторых российских СМИ о том, что будто бы чуть ли не 90 процентов заболевших россиян «привезли болезнь с отдыха». В ходе беседы с агентством Ерхов призвал россиян «приобретать страховой полис, в том числе предусматривающий покрытие расходов на случай коронавирусной инфекции». «Поймите, это в ваших же интересах. Для более полной и эффективной охраны вашего же здоровья. И чем полнее будет объем покрытия, тем спокойнее и комфортнее вам же будет проводить отдых», — обратился он к туристам. «Прибывающие в Турцию граждане России должны понимать, что з"
18,"В Волгограде скончался отец-одиночка 12-летней школьницы, которого избили из-за конфликта в родительском чате. По словам представительницы комитета, мужчина получил серьезные травмы.","В Волгограде умер мужчина, избитый из-за ссоры в родительском чате. Конфликт возник при обсуждении домашнего задания школьников, на которое было дано несколько часов. Одна из матерей посчитала слова отца-одиночки оскорбительными, после чего ее родственник избил обидчика в одном из отделений банка. Пострадавший провел в реанимации больше недели и так и не пришел в сознание.","В Волгограде скончался в реанимации отец-одиночка 12-летней школьницы, которого избили из-за конфликта в родительском чате. Об этом сообщили в Комитете здравоохранения Волгоградской области. «Скончался, не приходя в сознание», — приводит ТАСС слова представительницы комитета. Мужчина больше недели провел в реанимации 25 больницы города. Травмы житель Волгограда получил 23 октября, когда пришел в отделение одного из банков: вслед за ним в здание вошел человек, вооруженный кастетом, и несколько раз ударил его по голове, передавал местный портал V1.RU. «Охрана банка никак не реагировала. Кавказец пришел, избил человека и ушел летящей походкой. Все были просто в шоке», — приводит издание слова очевидцев. Они отмечали, что мужчина получил серьезные травмы. Среди посетителей отделения банка был врач-реаниматолог, который оказал первую помощь пострадавшему. «Около 18:40 в полицию поступило сообщение о том, что в одном из банков в центре Волгограда неизвестный мужчина избил посетителя», — рассказали V1.RU в пресс-службе региональной полиции. Оперативники уголовного розыска сразу установили личность подозреваемого и задержали его — им оказался 30-летний мужчина. Спустя три дня его арестовали на два месяца. В отношении него было возбуждено уголовное дело по ч. 1 ст. 111 УК РФ «Умышленное причинение тяжкого вреда здоровью». Задержанный рассказал правоохранителям, что избил отца-одиночку из-за того, что тот накануне якобы оскорбил его сестру (по другой версии, жену) в родительском чате. Позже издание опубликовало часть переписки, в которой, в частности, содержатся угрозы в адрес покойного. Конфликт в чате возник из-за того, что волгоградец не смо"
19,"Глава Украины Владимир Зеленский заявил, что «старые элиты и олигархи» устроили заговор против президента и страны. По его словам, это публичное проявление заговора части старых элит и олигархов против него и страны.","Решение Конституционного суда о декларировании, которое фактически подрывает антикоррупционную политику властей, — это заговор «старых элит и олигархов» против Украины, считает президент страны Владимир Зеленский. Действия судей он охарактеризовал как проделки «чертей из политического ада». Ранее Зеленский подал в Раду законопроект о роспуске нынешнего состава КС, после чего глава суда заявил о перевороте.","Украинский президент Владимир Зеленский считает, что «старые элиты и олигархи» устроили заговор против него и страны. «Я точно знаю, что сегодняшний демарш Конституционного суда — это публичное проявление заговора части старых элит и олигархов против президента и против страны. Никак иначе. Именно против», — уверен украинский глава. Свое мнение он обосновал тем, что «только слабый президент и слабое государство — залог сохранения их коррупционного образа жизни». «Иначе они не умеют. Как там говорят — на Хеллоуин все черти из политического ада открывают свои настоящие лица. Так совпало», — написал глава страны в своем Telegram-канале. По его словам, на чаше весов из-за инцидента с Конституционным судом сейчас находятся уничтожение всего, за что украинцы боролись «на всех майданах», и полноценная свобода. Конфликт Зеленского и КС возник после того, как судьи решили, что статья Уголовного кодекса о наказании за недостоверное декларирование противоречит основному закону страны. Помимо этого, суд отобрал у Национальной антикоррупционной прокуратуры право проверять электронные декларации и выявлять конфликт интересов. Это привело к тому, что доступ в Единый реестр электронных деклараций был закрыт. Таким образом нарушилась система антикоррупционной реформы. Ее принятие было одним из условий предоставления Украине безвизового режима с Евросоюзом и финансовой помощи Киеву от международных кредиторов. В офисе президента Украины уверены, что действия судей КС противоречат интересам страны. Правительство поручило возобновить доступ к реестру в обход решения суда, передает РИА «Новости». В итоге Зеленский решил распустить КС, объявить новый набор членов суда и признать ничтожными решения судей. Соответствующий законопроект он направил на рассмотрение депутатов. Глава КС"
20,"Компания PGNiG подала заявку на снижение цены на газ, поставляемый в Польшу «Газпромом» по «Ямальскому контракту». По словам компании, это политическое решение, речь не идет о технической безопасности.","Польская нефтегазовая компания PGNiG начала новый раунд ценовых войн с российским «Газпромом». Поляки хотят получить от российского газового монополиста скидку на газ. В Польше считают, что контракт между компаниями позволяет раз в три года пересматривать ценовые условия поставок, исходя из рыночной ситуации. Получать дешевый газ хотят еще несколько европейских партнеров.","PGNiG подала заявку на снижение цены природного газа, поставляемого в Польшу «Газпромом» по «Ямальскому контракту». Об этом сообщает в понедельник, 2 ноября, РИА «Новости» со ссылкой на заявление компании. Заявка об изменении цены на газ направлена как «Газпрому», так и «Газпром-экспорту» в соответствии с соглашением, подписанным в 1996 году. Контракт на поставку почти 10 млрд кубометров природного газа в год заключен в 1996 году. Действителен до 2022 года. Польша, как заявлялось ранее, не намерена его продлевать. Это решение компания неоднократно объяснила «стремлением Польши к обеспечению безопасности поставок энергоресурсов». Разумеется, это политическое решение, речь не идет о технической безопасности, отмечали ранее эксперты. По мнению польской компании, контракт позволяет каждой из сторон раз в три года требовать пересмотра ценовых условий поставок газа. При условии, что действующие цены не отвечают сложившейся рыночной ситуации. По расчетам PGNiG, например, американский сжиженный газ обходится на 20-30% дешевле, чем трубопроводный газ «Газпрома». В 2019 году Польша потребила 19 млрд куб газа. Причем 4 млрд кубов составила внутренняя добыча, 9 млрд было закуплено в России. Еще 3,5 млрд кубометров — в Евросоюзе, и еще 2,5 млрд кубометров поступило в виде СПГ. С 2023 года Польша, как было официально объявлено, будет обеспечивать свой спрос на газ за счет других источников. Польша считает возможным получать газ в Катаре, США, Норвегии, Турции. Контракт на покупку СПГ у американской Cheniere предполагает рост поставок до 2 млрд кубометров к 2023 году. Контракт с другой американской компанией — Venture Global LNG — предусматривает поставки с 2022-го по 2024-й до 4,5 млрд кубометров в год. Еще"
21,"Глава комитета Верховной рады по вопросам финансов, налоговой и таможенной политики Алексей Пушков отреагировал на заявление председателя комитета Верховной рады по вопросам финансов, налоговой и таможенной политики Даниила Гетманцева.","«Славянской Франции» из Украины не выйдет в ближайшие десятилетия, поскольку Киев упустил исторический шанс, раскрутив «майдан». Такое мнение выразил российский сенатор Алексей Пушков, комментируя признание украинского главы финансового комитета Рады в том, что Украине потребуется лет 40, чтобы догнать Польшу по уровню ВВП.","Глава комиссии по информационной политике Совета Федерации Алексей Пушков прокомментировал упущенный Украиной исторический шанс на улучшение уровня жизни. В своем Twitter сенатор отреагировал на заявление председателя комитета Верховной рады по вопросам финансов, налоговой и таможенной политики Даниила Гетманцева. Тот в интервью Gordon.ua признался, что сделать из Украины восточноевропейскую Францию не получится — по меньшей мере, при жизни следующего поколения украинцев. «Шанс у Украины на повышение уровня жизни был — в случае развития торгово-экономических связей и с Россией, и с Европой. Но был раскручен «майдан», и Украина свой шанс провалила», — подчеркнул Пушков. Гетманцев ранее заявил, что Украине потребуется по меньшей мере 40 лет, чтобы догнать по уровню ВВП на душу населения хотя бы Польшу. Сверхзадачей для украинских властей является достижение белорусских или российских социоэкономических показателей. Пушков отметил, что Украина в 2011-2013 годах показывала весьма приличные темпы роста экономики, а ВВП страны приближался к $200 млрд. Однако планы были сорваны «евроинтеграцией». Кабмин полагает, что ВВП Украины в 2020 году упадет на 4,8% при инфляции 6,8%. В это же время Всемирный банк считает, что экономика Украины упадет на 3,5%. По мнению МВФ, украинский ВВП в 2020 году сократится на 8,2%, вырастет чуть более, чем на процент, в следующем году, и еще на 3% — в 2022 году. Экономические отношения между Москвой и Киевом начали разрушаться еще в конце 2014 года. Из-за разрыва экономических связей с Россией Украина потеряла в 13 раз больше, чем РФ. Произошло это, в частности, из-за падения объемов взаимной торговли на фоне взаимных санкций и сворачивания ряда совместных проектов. Сначала правительство Украины прин"
22,"Вашингтон разрабатывает законопроект, в котором предполагается ограничение на покупку других государств передовых систем вооружения, представляющих угрозу для американских.","Странам, которые приобретают у США передовые системы вооружения, могут официально запретить покупать технологии, угрожающие американской технике, сообщают СМИ. В числе таких угроз — российские зенитные ракетные системы С-400, которые ранее приобрела у России Турция, чем вызвала критику со стороны Соединенных Штатов.","В сенате Соединенных Штатов разрабатывают законопроект, в котором продажа другим странам передовых систем вооружения, в том числе истребителей пятого поколения F-35 Lightning II, будет предполагать ограничение на покупку этими государствами иностранных технологий, представляющих угрозу для американских, пишет Breaking Defense. В частности, к таким угрозам, как отмечает издание, относятся российские зенитные ракетные системы С-400 «Триумф». Помимо того, как уточнили в издании, в США рассматривают инициативу члена палаты представителей от Демократической партии Элиота Энгеля. Согласно предлагаемым им изменениям, страны Ближнего Востока, которые захотят приобрести F-35 Lightning II и другие передовые вооружения, в том числе беспилотники, должны будут проинформировать Вашингтон о целях и планах использования закупаемого оружия. «Страны, не входящие в НАТО, такие как Финляндия и Швейцария, также рассматривают возможность закупки F-35, и им также придется придерживаться новых правил, если какая-либо версия законопроектов будет принята», — обратили внимание в Breaking Defense. Подобный вопрос встал на повестке дня для США после того, как Анкара в 2017 году приобрела у Москвы системы С-400. Турция стала первой страной Североатлантического альянса, которая приобрел у Москвы эти системы. Стоимость сделки составила $2,5 млрд, половину из которых покрывает российский кредит. Первые поставки начались 12 июля прошлого года. Этот контракт вызвал возмущение американской стороны, которая призывала Турцию отказаться от сделки и вместо этого приобрести комплексы Соединенных Штатов Patriot. НАТО в целом выступает против того, что Турция приобрела С-400. Военный блок объясняет это тем, что Вашингтон и Брюссель опасались утечки через «Триумф» сведений, раскрывающих возможности американских истребителей пятого"
23,"Впервые отношения между Кишиневом и Тирасполем серьезно обострились 31 августа 1989 года, когда Верховный Совет Молдавии принял закон о языке. По мнению жителей левого берега Днестра и Гагаузии, в свою очередь, решили румынизировать население.",2 ноября 1990 года у города Дубоссары произошли столкновения между молдавскими омоновцами и местными отрядами самообороны. Впервые было применено огнестрельное оружие. Эти события стали прологом к вооруженной фазе конфликта в Приднестровье.,"Впервые отношения между Кишиневом и Тирасполем серьезно обострились 31 августа 1989 года, когда Верховный Совет ССР Молдовы (так с 5 июня того же года называлась Молдавская ССР) принял законы о языке. Жители левого берега Днестра и Гагаузии расценили это как ущемление прав немолдавского населения. Многие промышленные предприятия приднестровских городов в знак протеста объявили забастовки. Росту напряженности способствовало и произошедшее несколькими месяцами ранее утверждение нового молдавского флага, сильно напоминавшего румынский, и принятие Декларации о государственном суверенитете республики. Горсоветы Тирасполя, Бендер и Рыбницы, в свою очередь, решили игнорировать молдавскую символику. Неприятие на левом берегу Днестра вызывали также стремления молдавского руководства во главе с Мирчей Снегуром румынизировать население. «Весной 1989 года во всех трудовых коллективах обсуждался проект закона о функционировании государственного языка на румынской графике, — вспоминал участник событий на стороне Приднестровья, житель Дубоссар Павел Головко. — Затем был второй проект закона, а в августе был принят никем не обсужденный третий проект – дискриминационный по существу, делящий граждан по национальному признаку». Как следствие, 2 сентября 1990 года 2-й Чрезвычайный съезд депутатов Приднестровья принял решение образовать Молдавскую Приднестровскую Советскую Социалистическую Республику в составе СССР с выходом из состава Молдавии. Чрезвычайная сессия Верховного Совета Молдовы аннулировала это решение. Кишинев начал формировать собственную армию, а Снегур был избран президентом республики. 22 октября 1990-го он выступил по ТВ с обращением, в котором призвал создавать отряды самообороны для воспрепятствования «сепаратистам». Через пять дней началось создание таких под"
24,"Ученые из медицинского центра Маунт Синай в США обнаружили, что иммунитет к коронавирусу сохраняется около пяти месяцев или дольше, выяснили врачи из медицинского центра Маунт Синай в США. При этом у всех участников исследования наблюдался стойкий иммунный ответ.","Антитела к коронавирусу сохраняются в организме около полугода, установили врачи из США. При этом почти у всех переболевших наблюдается средний или высокий уровень антител, даже если симптомы болезни не были сильно выражены.","Иммунитет к коронавирусу может сохраняться около пяти месяцев или дольше, выяснили врачи из медицинского центра Маунт Синай в США. Исследование было опубликовано в журнале Science. Специалисты изучили показатели 30 тыс. пациентов, в марте-октябре 2020 года перенесших COVID-19 в легкой или умеренной форме. У всех участников исследования наблюдался стойкий иммунный ответ. Исследователи использовали метод иммуноферментного анализа. Он позволяет определить титр антител, связывающихся с белковыми шипами вируса, которые тот использует для проникновения в клетку. Титр антител — это предельное разведение сыворотки крови, при котором антитела могут быть обнаружены. Среди обследованных пациентов около 7,1% имели низкий титр, 22,5% — умеренный, и 70,4% — высокий. Таким образом, у более чем 90% выживших пациентов был умеренный или высокий уровень антител. При этом даже среди тех, у кого уровень антител был низким, в 50% случаев наблюдалась нейтрализующая активность. При умеренном уровне антител она встречалась в 90% случаев, при высоком — в 100%. Затем ученые проанализировали данные 121 человека из этой выборки в течение длительного времени и обнаружили, что стабильные титры нейтрализующих антител сохранялись в течение пяти месяцев в большинстве рассматриваемых случаев, хотя их уровень со временем и снижался. «В то время как появились сообщения о том, что антитела к этому вирусу быстро исчезают, мы обнаружили обратное, — говорит ведущий автор исследования доктор Флориан Краммер. — У более 90% людей со слабыми или умеренными симптомами наблюдалась выработка антител достаточно сильная, чтобы нейтрализовать вирус, и этот иммунный ответ сохранялся в течение многих месяцев». Интересно, что среди тех, у кого первоначально был низкий или умеренный уровень антител, наблюдалось повышение их уровня. «Сывороточные антитела,"
25,"Глава Московского института теплотехники Юрий Соломонов заявил, что «вооружение есть вооружение», и прервать его совершенствование просто невозможно. По его словам, стратегические ядерные силы должны обеспечивать национальную безопасность государства.","Наличие между странами договора порождает между ними доверие, но, если Москва и Вашингтон не продлят СНВ-3, это не будет указывать на обязательное начало третьей мировой войны, заявил разработчик МБР Юрий Соломонов. Он обратил внимание, что в вопросе ядерных сил речь должна идти не о соперничестве, а о минимальной разумной достаточности.","Потенциал российских ядерных сил «гарантированно избыточен», заявил в интервью для ближайшего номера журнала «Национальная оборона» генеральный конструктор Московского института теплотехники ( МИТ ), создатель стратегических ракетных комплексов «Тополь», «Ярс» и «Булава», академик РАН Юрий Соломонов. При этом эксперт признал, что «вооружение есть вооружение», и прервать его совершенствование просто невозможно. Он обратил внимание, что стратегические ядерные силы должны обеспечивать национальную безопасность государства. «Речь должна идти не о соревновательности в этом процессе, не о политике, а о минимальной разумной достаточности. При этом минимальная разумная достаточность определяется, прежде всего, критерием, о котором я неоднократно говорил на всех уровнях, включая самый верхний. Имею в виду использование универсального критерия «стоимость — эффективность»», — отметил генконструктор МИТ. По его словам, если Москва и Вашингтон не подпишут договор о сокращении стратегических наступательных вооружений (СНВ-3), это не будет говорить о приближении третьей мировой войны. Как отметил Соломонов, даже если США и Россия находятся вне договорной системы, от этого ситуация, с точки зрения приближения или отдаления к военным действиям, не изменится. «Другое дело, что, безусловно, наличие договоров разряжает не обстановку с точки зрения возникновения потенциальных конфликтов — оно порождает самое главное во взаимоотношениях между государствами — принцип доверия», — подчеркнул специалист. Академик напомнил, что в истории взаимоотношений России и Соединенных Штатов были прецеденты, когда договоры заканчивались официально, но при этом стороны приходили к соглашению соблюдать их условия без наличия самих договоров. Кроме того, он обратил внимание, что другие страны «ядерного клуба», в частности Франция, Великобритания и"
